sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-0.09763414441854104,0.9237571306764547,1.5188101179608342,8.494479179382324,,,,
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,2.0553325784617457e-10,8.51516674913818e-08,2.451832362207144e-07,9.5367431640625e-07,,,,
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.24472003806029818,0.24472003806029818,0.2542475297814035,0.4387779235839844,,,,
14,14,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-3.5566557582023215e-10,2.3608835636342995e-08,7.39160101093434e-08,2.384185791015625e-07,,,,
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-1.4390974975300734,2.150030701769405,14.239438612380283,846.0889282226562,-0.1901582345051692,0.4834799850535339,3.69878461572223,196.3663330078125
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.1286889480439243e-10,4.365938348544413e-08,1.8450954948231775e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.8948769060668855,4.0217821317561935,9.683006503544295,167.3839111328125,0.1222296811816298,0.5902831278717571,1.236320462079771,24.605499267578125
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,0.03898302807471457,0.9265377550689197,1.4712927137631184,8.532558917999268,,,,
15,15,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,-1.5605302910542885e-10,8.419631845954126e-08,2.445337479720261e-07,9.5367431640625e-07,,,,
